DOID,Disease_Name,Chemical_Name,Chemical_ID,Direct_Evidence,PubMed_IDs
DOID:1826,Epilepsy,"10,11-dihydro-10-hydroxycarbamazepine",C039775,therapeutic,17516704
DOID:114,Heart Diseases,10-(6'-ubiquinonyl)decyltriphenylphosphonium bromide,C476756,therapeutic,20566328
DOID:12858,Huntington Disease,10-hydroxycamptothecin,C028098,therapeutic,21909362
DOID:1240,Leukemia,"10-methoxy-2,2-dimethyl-2,6-dihydropyrano(3,2-c)quinolin-5-one",C554291,therapeutic,20833157
DOID:11832,Seizures,"1,10-diaminodecane",C065351,therapeutic,9641557
DOID:1094,Hyperkinesis,"1-(1,3-benzodioxol-5-ylcarbonyl)piperidine",C085415,therapeutic,9286612
DOID:5050,"Carcinoma, Ehrlich Tumor",11-keto-boswellic acid,C447943,therapeutic,21056033
DOID:8670,Eating Disorders,1-(1-naphthyl)piperazine,C048241,therapeutic,8223940
DOID:3021,Acute Kidney Injury,1-(2-(1-adamantyl)ethyl)-1-pentyl-3-(3-(4-pyridyl)propyl)urea,C530925,therapeutic,19147859
DOID:1094,Hyperkinesis,"1,2,3,4,8,9,10,10a-octahydro-7bH-cyclopenta(b)(1,4)diazepino(6,7,1hj)indole",C501656,therapeutic,19347958
DOID:3454,Brain Infarction,12-(3-adamantan-1-ylureido)dodecanoic acid,C504897,therapeutic,19435785
DOID:10763,Hypertension,12-(3-adamantan-1-ylureido)dodecanoic acid,C504897,therapeutic,15699457
DOID:557,Kidney Diseases,"1,25-dihydroxyvitamin D",C097949,therapeutic,19594554
DOID:576,Proteinuria,"1,25-dihydroxyvitamin D",C097949,therapeutic,19594554
DOID:10609,Rickets,"1,25-dihydroxyvitamin D",C097949,therapeutic,15818308
DOID:1094,Hyperkinesis,1-(2-amino-3-methyl-butyryl)-azetidine-2-carbonitrile,C503634,therapeutic,15925329
DOID:670,Amphetamine-Related Disorders,(1-(2-(bis(4-fluorophenyl)methoxy)ethyl)-4-(3-hydroxy-3-phenylpropyl) piperazinyl decanoate),C461261,therapeutic,12105088
DOID:4990,Essential Tremor,(1-(2-(bis(4-fluorophenyl)methoxy)ethyl)-4-(3-hydroxy-3-phenylpropyl) piperazinyl decanoate),C461261,therapeutic,19497322
DOID:1909,Melanoma,1-(2-chloroethyl)-1-nitrosourea,C017139,therapeutic,16557598
DOID:2044,Drug-Induced Liver Injury,"1-(2-cyano-3,12-dioxooleana-1,9-dien-28-oyl) imidazole",C472829,therapeutic,18417483|19371629
DOID:9538,Multiple Myeloma,"1-(2-cyano-3,12-dioxooleana-1,9-dien-28-oyl) imidazole",C472829,therapeutic,15070698
DOID:2043,Hepatitis B,"1-(2-deoxy-beta-L-erythropentafuranosyl)-5-methyl-2,4(1H)-pyrimidinone",C487780,therapeutic,16152756
DOID:2394,Ovarian Neoplasms,"1-((2-dimethylamino)ethylamino)-4-(2-(3-hydroxymethylpiperidin-1-yl)ethylamino)-5,8-dihydroxyanthracene-9,10-dione",C505980,therapeutic,16220985
DOID:8927,Learning Disorders,"1,2-linoleoylphosphatidylcholine",C002448,therapeutic,19100751
DOID:1094,Hyperkinesis,1-(2-methoxyphenyl)-4-(4-(2-phthalimido)butyl)piperazine,C058895,therapeutic,15213358
DOID:8927,Learning Disorders,"1-(2-methoxy-phenyl)-4-(4-(4-(6-imidazol(2,1-b) thiazolyl)-phenoxy)-butyl-4-(14)C)-piperazine dimethane",C427703,therapeutic,15619116
DOID:670,Amphetamine-Related Disorders,"1-(2-methylbenzoxazol-6-yl)-3-(1,5)naphthyridin-4-yl urea",C420062,therapeutic,19737591
DOID:11832,Seizures,1-(2-phenethyl)-4-(2-pyridyl)piperazine,C519696,therapeutic,17241657
DOID:11832,Seizures,1-(2-trifluoromethylphenyl)imidazole,C098186,therapeutic,9222532
DOID:1612,Breast Neoplasms,130-nm albumin-bound paclitaxel,C520255,therapeutic,19637953
DOID:10652,Alzheimer Disease,1-(3-(2-(1-benzothiophen-5-yl) ethoxy) propyl)-3-azetidinol maleate,C503102,therapeutic,18573265
DOID:14330,Parkinson Disease,1-(3-(2-(1-benzothiophen-5-yl) ethoxy) propyl)-3-azetidinol maleate,C503102,therapeutic,18573265
DOID:8927,Learning Disorders,"1-(3-(4-(3-chlorophenyl)-1-piperazinyl)propyl)-3,4-dihydro-5-methoxy-2(1H)-quinolinone",C404207,therapeutic,11907181
DOID:8864,"Leukemia, Monocytic, Acute","1,3-benzothiazol-2-yl(2-((2-(3-pyridinyl)ethyl)amino)-4-pyrimidinyl)acetonitrile",C489138,therapeutic,16972261
DOID:4724,Brain Edema,"1,3-butylene glycol",C028491,therapeutic,2219211|8630150
DOID:2316,Brain Ischemia,"1,3-butylene glycol",C028491,therapeutic,3810756|4049449|6729886|7859074
DOID:224,"Ischemic Attack, Transient","1,3-butylene glycol",C028491,therapeutic,1668814|3693436
DOID:10763,Hypertension,1-(3-chlorophenyl)biguanide,C065734,therapeutic,15518641
DOID:10652,Alzheimer Disease,1-(3-chlorophenyl)piperazine,C015068,therapeutic,1912105
DOID:8670,Eating Disorders,1-(3-chlorophenyl)piperazine,C015068,therapeutic,8223940
DOID:3021,Acute Kidney Injury,"1,3-dimethylthiourea",C038983,therapeutic,1324513|3123518
DOID:557,Kidney Diseases,"1,3-dimethylthiourea",C038983,therapeutic,8160791
DOID:576,Proteinuria,"1,3-dimethylthiourea",C038983,therapeutic,16171782|1658168|17035936|2848972|7742222|7919151|7977444
DOID:3021,Acute Kidney Injury,"1,3-dipropyl-8-(3-noradamantyl)xanthine",C073525,therapeutic,7967229|8164396
DOID:679,Basal Ganglia Diseases,"1,3-dipropyl-8-cyclopentylxanthine",C051360,therapeutic,18594798
DOID:2044,Drug-Induced Liver Injury,"1,3-dipropyl-8-cyclopentylxanthine",C051360,therapeutic,22956627
DOID:3908,"Carcinoma, Non-Small-Cell Lung","1-(4-((2-(2-aminopyrimidin-5-yl)-7-methyl-4-morpholinothieno(3,2-d)pyrimidin-6-yl)methyl)piperazin-1-yl)-2-hydroxypropan-1-one",C569670,therapeutic,23136191
DOID:8283,Peritonitis,1-(4-(benzothiazol-2-yloxy)benzyl)piperidine-4-carboxylic acid,C521339,therapeutic,17371808
DOID:1852,"Cholestasis, Intrahepatic","1,4-bis(2-(3,5-dichloropyridyloxy))benzene",C028474,therapeutic,18032408
DOID:2044,Drug-Induced Liver Injury,"1,4-bis(2-(3,5-dichloropyridyloxy))benzene",C028474,therapeutic,19433268
DOID:1826,Epilepsy,"1-(4-chlorophenyl)-4-piperidin-1-yl-1,5-dihydroimidazol-2-one",C504151,therapeutic,19787095
DOID:37,Skin Diseases,"1,4-cyclohexanediol",C064620,therapeutic,20025951
DOID:6000,Heart Failure,14-dehydroxy-3-glucodigitoxigenin,C048858,therapeutic,2943245
DOID:1612,Breast Neoplasms,1-(4'-hydroxy-2'-butenoxy)methyl-2-nitroimidazole,C047778,therapeutic,1671058
DOID:1749,"Carcinoma, Squamous Cell",1-(4'-hydroxy-2'-butenoxy)methyl-2-nitroimidazole,C047778,therapeutic,1671058
DOID:3394,Myocardial Ischemia,15-crown-5,C042148,therapeutic,8312801
DOID:9119,"Leukemia, Myeloid, Acute","15-deoxy-delta(12,14)-prostaglandin J2",C097240,therapeutic,19997560
DOID:5082,Liver Cirrhosis,"15-deoxy-delta(12,14)-prostaglandin J2",C097240,therapeutic,19429239
DOID:11396,Pulmonary Edema,"15-deoxy-delta(12,14)-prostaglandin J2",C097240,therapeutic,15684285
DOID:365,Urinary Bladder Diseases,"15-deoxy-delta(12,14)-prostaglandin J2",C097240,therapeutic,16461118
DOID:3525,"Infarction, Middle Cerebral Artery",15-deoxyprostaglandin J2,C477819,therapeutic,16034372
DOID:5844,Myocardial Infarction,15-deoxyprostaglandin J2,C477819,therapeutic,12087064
DOID:1508,Candidiasis,1-(5-hydroxy-5-methylhexyl)-3-methylxanthine,C062028,therapeutic,1759826
DOID:557,Kidney Diseases,"1,5-isoquinolinediol",C402108,therapeutic,19833176
DOID:2921,Glomerulonephritis,15(S)-15-methylprostaglandin E1,C025170,therapeutic,2311303
DOID:1557,Immune Complex Diseases,15(S)-15-methylprostaglandin E1,C025170,therapeutic,159314
DOID:865,Vasculitis,15(S)-15-methylprostaglandin E1,C025170,therapeutic,159314
DOID:10763,Hypertension,17-alpha-hydroxy-progesterone caproate,C020365,therapeutic,19733289
DOID:5425,Ovarian Hyperstimulation Syndrome,17-alpha-hydroxy-progesterone caproate,C020365,therapeutic,11719720|12960445
DOID:780,Placenta Diseases,17-alpha-hydroxy-progesterone caproate,C020365,therapeutic,17139407
DOID:9681,Uterine Cervical Incompetence,17-alpha-hydroxy-progesterone caproate,C020365,therapeutic,19492920
DOID:1612,Breast Neoplasms,17-(dimethylaminoethylamino)-17-demethoxygeldanamycin,C448659,therapeutic,21633166
DOID:3083,"Pulmonary Disease, Chronic Obstructive","1,7-dimethylxanthine",C021183,therapeutic,19962977
DOID:14330,Parkinson Disease,17-monochloroacetylajmaline,C008541,therapeutic,4602984
DOID:10808,Stomach Ulcer,17-phenyltrinorprostaglandin E2,C092396,therapeutic,11595431
DOID:670,Amphetamine-Related Disorders,18-methoxycoronaridine,C103345,therapeutic,15178360
DOID:1094,Hyperkinesis,18-methoxycoronaridine,C103345,therapeutic,9384223
DOID:2560,Morphine Dependence,18-methoxycoronaridine,C103345,therapeutic,10911941|15178360
DOID:5050,"Carcinoma, Ehrlich Tumor",1'-acetoxychavicol acetate,C047948,therapeutic,20230805
DOID:1612,Breast Neoplasms,1'-acetoxyeugenol,C057996,therapeutic,21346553
DOID:1240,Leukemia,"1-(acetyloxy)-3,5,6,6a,7,8,9,10-octahydro-10-hydroxy-7,8-dimethyl-7-(3-methylpenta-2,4-dien-1-yl)naphtho(1,8a-c)furan-3,5-diyl dibutanoate",C548433,therapeutic,20816779
DOID:11832,Seizures,1-amino-5-bromouracil,C087307,therapeutic,7698200
DOID:3021,Acute Kidney Injury,1-aminobenzotriazole,C033020,therapeutic,9381478
DOID:3426,Vestibular Diseases,1-aminobenzotriazole,C033020,therapeutic,18990727|22546275
DOID:670,Amphetamine-Related Disorders,1-(benzofuran-2-yl)-2-propylaminopentane,C404200,therapeutic,19883738
DOID:14115,"Shock, Septic","1-(beta-naphthylmethyl)-6,7-dihydroxy-1,2,3,4-tetra-hydroisoquinoline",C495109,therapeutic,11961057
DOID:14499,Fabry Disease,1-deoxygalactonojirimycin,C483747,therapeutic,22773828
DOID:9074,"Lupus Erythematosus, Systemic",((1-ethylpyrrolidin-2-yl) methyl)-4-hydroxy-7-methoxy-quinoline-3-carboxamide,C559381,therapeutic,21195814
DOID:10952,Nephritis,((1-ethylpyrrolidin-2-yl) methyl)-4-hydroxy-7-methoxy-quinoline-3-carboxamide,C559381,therapeutic,21195814
DOID:576,Proteinuria,((1-ethylpyrrolidin-2-yl) methyl)-4-hydroxy-7-methoxy-quinoline-3-carboxamide,C559381,therapeutic,21195814
DOID:11832,Seizures,"1H-(1,2,4)oxadiazolo(4,3-a)quinoxalin-1-one",C095284,therapeutic,11140358
DOID:365,Urinary Bladder Diseases,1-hexacosanol,C051942,therapeutic,17989502
DOID:1612,Breast Neoplasms,1-hexylcarbamoyl-5-fluorouracil,C017367,therapeutic,7887639
DOID:2394,Ovarian Neoplasms,1-hexylcarbamoyl-5-fluorouracil,C017367,therapeutic,2667512
DOID:8577,"Colitis, Ulcerative",1-hydroxycholecalciferol,C008088,therapeutic,17893519
DOID:12466,"Hyperparathyroidism, Secondary",1-hydroxycholecalciferol,C008088,therapeutic,8840326
DOID:10763,Hypertension,1-hydroxycholecalciferol,C008088,therapeutic,12960676
DOID:11199,Hypoparathyroidism,1-hydroxycholecalciferol,C008088,therapeutic,2616424
DOID:0050445,"Hypophosphatemic Rickets, X-Linked Dominant",1-hydroxycholecalciferol,C008088,therapeutic,18775977
DOID:11476,Osteoporosis,1-hydroxycholecalciferol,C008088,therapeutic,20069278
DOID:13068,Renal Osteodystrophy,1-hydroxycholecalciferol,C008088,therapeutic,11770836
DOID:1240,Leukemia,1L-6-hydroxymethyl-chiro-inositol 2(R)-2-O-methyl-3-O-octadecylcarbonate,C477931,therapeutic,12970779
DOID:6000,Heart Failure,1-(methanesulfonamido-1-naphthyloxy)-2-(N-(4-methane sulfonamidophenethyl)-N-acetamido)ethane,C521406,therapeutic,20723002
DOID:3602,Neurotoxicity Syndromes,"1-methyl-1,2,3,4-tetrahydroisoquinoline",C050386,therapeutic,14741061
DOID:6364,Migraine Disorders,1-methylergotamine,C018509,therapeutic,5560739
DOID:11832,Seizures,1-phenylcyclohexylamine,C037320,therapeutic,12762595
DOID:14330,Parkinson Disease,"1-propyl-2,3,4,4a,5,7,8,9,10,10a-decahydro-1H-benzo(g)quinolin-6-one",C509276,therapeutic,16480286
DOID:1612,Breast Neoplasms,1-UFT protocol,C031903,therapeutic,11202810|9348575
DOID:11162,Respiratory Insufficiency,20682-S,C022915,therapeutic,6129881
DOID:3021,Acute Kidney Injury,"2-(1',2',3',4'-tetrahydroxybutyl)thiazolidine-4-carboxylic acid",C070066,therapeutic,15546480
DOID:2044,Drug-Induced Liver Injury,"2-(1',2',3',4'-tetrahydroxybutyl)thiazolidine-4-carboxylic acid",C070066,therapeutic,15546480
DOID:1612,Breast Neoplasms,"2-(1H-indazol-4-yl)-6-(4-methanesulfonylpiperazin-1-ylmethyl)-4-morpholin-4-ylthieno(3,2-d)pyrimidine",C532162,therapeutic,20826841|22370636|22586300
DOID:3908,"Carcinoma, Non-Small-Cell Lung","2-(1H-indazol-4-yl)-6-(4-methanesulfonylpiperazin-1-ylmethyl)-4-morpholin-4-ylthieno(3,2-d)pyrimidine",C532162,therapeutic,23136191
DOID:9253,Gastrointestinal Stromal Tumors,"2-(1H-indazol-4-yl)-6-(4-methanesulfonylpiperazin-1-ylmethyl)-4-morpholin-4-ylthieno(3,2-d)pyrimidine",C532162,therapeutic,23231951
DOID:0060058,Lymphoma,"2-(1H-indazol-4-yl)-6-(4-methanesulfonylpiperazin-1-ylmethyl)-4-morpholin-4-ylthieno(3,2-d)pyrimidine",C532162,therapeutic,22287727
DOID:9538,Multiple Myeloma,"2-(1H-indazol-4-yl)-6-(4-methanesulfonylpiperazin-1-ylmethyl)-4-morpholin-4-ylthieno(3,2-d)pyrimidine",C532162,therapeutic,23318440
DOID:3247,Rhabdomyosarcoma,"2-(1H-indazol-4-yl)-6-(4-methanesulfonylpiperazin-1-ylmethyl)-4-morpholin-4-ylthieno(3,2-d)pyrimidine",C532162,therapeutic,23300809
DOID:11832,Seizures,"2,2,3,3-tetramethylcyclopropane carboxamide",C116673,therapeutic,11903457
