Disease_Name,DOID,Gene_Symbol
gallbladder disease,DOID:0000000,APOA1
gallbladder disease,DOID:0000000,APOB
gallbladder disease,DOID:0000000,APOE
gallbladder disease,DOID:0000000,BAX
gallbladder disease,DOID:0000000,IL10
gallbladder disease,DOID:0000000,UGT1A1
gallbladder disease,DOID:0000000,ABCG8
angiosarcoma,DOID:0001816,ANGPT2
angiosarcoma,DOID:0001816,ANXA2
angiosarcoma,DOID:0001816,CCND1
angiosarcoma,DOID:0001816,CSF3
angiosarcoma,DOID:0001816,CTNNB1
angiosarcoma,DOID:0001816,FLT1
angiosarcoma,DOID:0001816,GJA4
angiosarcoma,DOID:0001816,JUN
angiosarcoma,DOID:0001816,KDR
angiosarcoma,DOID:0001816,KRAS
angiosarcoma,DOID:0001816,MYC
angiosarcoma,DOID:0001816,TEK
angiosarcoma,DOID:0001816,TP53
angiosarcoma,DOID:0001816,VEGFA
angiosarcoma,DOID:0001816,VEGFC
angiosarcoma,DOID:0001816,HRAS1
angiosarcoma,DOID:0001816,TRP53
angiosarcoma,DOID:0001816,COL18A1
pterygium,DOID:0002116,APEX1
pterygium,DOID:0002116,CYP1A1
pterygium,DOID:0002116,ERCC2
pterygium,DOID:0002116,XRCC6
pterygium,DOID:0002116,GSTM1
pterygium,DOID:0002116,IFNA2
pterygium,DOID:0002116,IL1B
pterygium,DOID:0002116,IL1RN
pterygium,DOID:0002116,OGG1
pterygium,DOID:0002116,TNF
pterygium,DOID:0002116,TP53
pterygium,DOID:0002116,VEGFA
pterygium,DOID:0002116,XPA
pterygium,DOID:0002116,XRCC1
disease of metabolism,DOID:0014667,ACAT2
disease of metabolism,DOID:0014667,ADRB2
disease of metabolism,DOID:0014667,ADRB3
disease of metabolism,DOID:0014667,ADSL
disease of metabolism,DOID:0014667,AGTR1
disease of metabolism,DOID:0014667,AKT2
disease of metabolism,DOID:0014667,APOE
disease of metabolism,DOID:0014667,AQP7
disease of metabolism,DOID:0014667,BCS1L
disease of metabolism,DOID:0014667,BHMT
disease of metabolism,DOID:0014667,CBS
disease of metabolism,DOID:0014667,CEBPD
disease of metabolism,DOID:0014667,COL5A2
disease of metabolism,DOID:0014667,CRP
disease of metabolism,DOID:0014667,ACE
disease of metabolism,DOID:0014667,DHFR
disease of metabolism,DOID:0014667,ESRRA
disease of metabolism,DOID:0014667,ETFDH
disease of metabolism,DOID:0014667,F2
disease of metabolism,DOID:0014667,FABP2
disease of metabolism,DOID:0014667,FGB
disease of metabolism,DOID:0014667,GBE1
disease of metabolism,DOID:0014667,GCG
disease of metabolism,DOID:0014667,GHR
disease of metabolism,DOID:0014667,HFE
disease of metabolism,DOID:0014667,HIF1A
disease of metabolism,DOID:0014667,HTR2A
disease of metabolism,DOID:0014667,IL1R1
disease of metabolism,DOID:0014667,IL6
disease of metabolism,DOID:0014667,INS
disease of metabolism,DOID:0014667,ITGB3
disease of metabolism,DOID:0014667,LDLR
disease of metabolism,DOID:0014667,LEPR
disease of metabolism,DOID:0014667,LIPC
disease of metabolism,DOID:0014667,MMP3
disease of metabolism,DOID:0014667,MMP9
disease of metabolism,DOID:0014667,MTHFR
disease of metabolism,DOID:0014667,MTTP
disease of metabolism,DOID:0014667,MTR
disease of metabolism,DOID:0014667,MTRR
disease of metabolism,DOID:0014667,SERPINE1
disease of metabolism,DOID:0014667,ENPP1
disease of metabolism,DOID:0014667,PON1
disease of metabolism,DOID:0014667,PPARG
disease of metabolism,DOID:0014667,PTPN1
disease of metabolism,DOID:0014667,PTS
disease of metabolism,DOID:0014667,PYGM
disease of metabolism,DOID:0014667,SELE
disease of metabolism,DOID:0014667,SELP
disease of metabolism,DOID:0014667,TCN2
disease of metabolism,DOID:0014667,TGFB1
disease of metabolism,DOID:0014667,THBS1
disease of metabolism,DOID:0014667,ADIPOQ
disease of metabolism,DOID:0014667,SLC25A13
disease of metabolism,DOID:0014667,PPARGC1A
disease of metabolism,DOID:0014667,UPB1
disease of metabolism,DOID:0014667,SELS
disease by infectious agent,DOID:0050117,ABL1
disease by infectious agent,DOID:0050117,ABO
disease by infectious agent,DOID:0050117,ADAR
disease by infectious agent,DOID:0050117,ADM
disease by infectious agent,DOID:0050117,PARP1
disease by infectious agent,DOID:0050117,ADRB2
disease by infectious agent,DOID:0050117,ADRB3
disease by infectious agent,DOID:0050117,AFP
